home_team,away_team,home_goals,away_goals,result,season
Chelsea,Stoke,2,1,H,2014-2015
Burnley,Tottenham,0,0,D,2014-2015
Sunderland,Newcastle,1,0,H,2014-2015
Crystal Palace,Man City,2,1,H,2014-2015
Aston Villa,QPR,3,3,D,2014-2015
Swansea,Everton,1,1,D,2014-2015
Southampton,Hull,2,0,H,2014-2015
Sunderland,Crystal Palace,1,4,A,2014-2015
Tottenham,Aston Villa,0,1,A,2014-2015
West Brom,Leicester,2,3,A,2014-2015
West Ham,Stoke,1,1,D,2014-2015
Burnley,Arsenal,0,1,A,2014-2015
QPR,Chelsea,0,1,A,2014-2015
Man United,Man City,4,2,H,2014-2015
Liverpool,Newcastle,2,0,H,2014-2015
Crystal Palace,West Brom,0,2,A,2014-2015
Everton,Burnley,1,0,H,2014-2015
Leicester,Swansea,2,0,H,2014-2015
Stoke,Southampton,2,1,H,2014-2015
Chelsea,Man United,1,0,H,2014-2015
Man City,West Ham,2,0,H,2014-2015
Newcastle,Tottenham,1,3,A,2014-2015
Southampton,Tottenham,2,2,D,2014-2015
Burnley,Leicester,0,1,A,2014-2015
Crystal Palace,Hull,0,2,A,2014-2015
Newcastle,Swansea,2,3,A,2014-2015
QPR,West Ham,0,0,D,2014-2015
Stoke,Sunderland,1,1,D,2014-2015
West Brom,Liverpool,0,0,D,2014-2015
Man City,Aston Villa,3,2,H,2014-2015
Everton,Man United,3,0,H,2014-2015
Arsenal,Chelsea,0,0,D,2014-2015
Hull,Liverpool,1,0,H,2014-2015
Leicester,Chelsea,1,3,A,2014-2015
Leicester,Newcastle,3,0,H,2014-2015
Aston Villa,Everton,3,2,H,2014-2015
Liverpool,QPR,2,1,H,2014-2015
Sunderland,Southampton,2,1,H,2014-2015
Swansea,Stoke,2,0,H,2014-2015
West Ham,Burnley,1,0,H,2014-2015
Man United,West Brom,0,1,A,2014-2015
Chelsea,Crystal Palace,1,0,H,2014-2015
Tottenham,Man City,0,1,A,2014-2015
Hull,Arsenal,1,3,A,2014-2015
Everton,Sunderland,0,2,A,2014-2015
Aston Villa,West Ham,1,0,H,2014-2015
Hull,Burnley,0,1,A,2014-2015
Leicester,Southampton,2,0,H,2014-2015
Newcastle,West Brom,1,1,D,2014-2015
Stoke,Tottenham,3,0,H,2014-2015
Crystal Palace,Man United,1,2,A,2014-2015
Man City,QPR,6,0,H,2014-2015
Chelsea,Liverpool,1,1,D,2014-2015
Arsenal,Swansea,0,1,A,2014-2015
Southampton,Aston Villa,6,1,H,2014-2015
Burnley,Stoke,0,0,D,2014-2015
QPR,Newcastle,2,1,H,2014-2015
Sunderland,Leicester,0,0,D,2014-2015
Tottenham,Hull,2,0,H,2014-2015
West Ham,Everton,1,2,A,2014-2015
Liverpool,Crystal Palace,1,3,A,2014-2015
Swansea,Man City,2,4,A,2014-2015
Man United,Arsenal,1,1,D,2014-2015
West Brom,Chelsea,3,0,H,2014-2015
Arsenal,Sunderland,0,0,D,2014-2015
Arsenal,West Brom,4,1,H,2014-2015
Aston Villa,Burnley,0,1,A,2014-2015
Chelsea,Sunderland,3,1,H,2014-2015
Crystal Palace,Swansea,1,0,H,2014-2015
Everton,Tottenham,0,1,A,2014-2015
Hull,Man United,0,0,D,2014-2015
Leicester,QPR,5,1,H,2014-2015
Man City,Southampton,2,0,H,2014-2015
Newcastle,West Ham,2,0,H,2014-2015
Stoke,Liverpool,6,1,H,2014-2015
Man United,Tottenham,1,0,H,2015-2016
Bournemouth,Aston Villa,0,1,A,2015-2016
Everton,Watford,2,2,D,2015-2016
Leicester,Sunderland,4,2,H,2015-2016
Norwich,Crystal Palace,1,3,A,2015-2016
Chelsea,Swansea,2,2,D,2015-2016
Arsenal,West Ham,0,2,A,2015-2016
Newcastle,Southampton,2,2,D,2015-2016
Stoke,Liverpool,0,1,A,2015-2016
West Brom,Man City,0,3,A,2015-2016
Aston Villa,Man United,0,1,A,2015-2016
Southampton,Everton,0,3,A,2015-2016
Sunderland,Norwich,1,3,A,2015-2016
Swansea,Newcastle,2,0,H,2015-2016
Tottenham,Stoke,2,2,D,2015-2016
Watford,West Brom,0,0,D,2015-2016
West Ham,Leicester,1,2,A,2015-2016
Crystal Palace,Arsenal,1,2,A,2015-2016
Man City,Chelsea,3,0,H,2015-2016
Liverpool,Bournemouth,1,0,H,2015-2016
Man United,Newcastle,0,0,D,2015-2016
Crystal Palace,Aston Villa,2,1,H,2015-2016
Leicester,Tottenham,1,1,D,2015-2016
Norwich,Stoke,1,1,D,2015-2016
Sunderland,Swansea,1,1,D,2015-2016
West Ham,Bournemouth,3,4,A,2015-2016
West Brom,Chelsea,2,3,A,2015-2016
Everton,Man City,0,2,A,2015-2016
Watford,Southampton,0,0,D,2015-2016
Arsenal,Liverpool,0,0,D,2015-2016
Newcastle,Arsenal,0,1,A,2015-2016
Aston Villa,Sunderland,2,2,D,2015-2016
Bournemouth,Leicester,1,1,D,2015-2016
Chelsea,Crystal Palace,1,2,A,2015-2016
Liverpool,West Ham,0,3,A,2015-2016
Man City,Watford,2,0,H,2015-2016
Stoke,West Brom,0,1,A,2015-2016
Tottenham,Everton,0,0,D,2015-2016
Southampton,Norwich,3,0,H,2015-2016
Swansea,Man United,2,1,H,2015-2016
Everton,Chelsea,3,1,H,2015-2016
Arsenal,Stoke,2,0,H,2015-2016
Crystal Palace,Man City,0,1,A,2015-2016
Norwich,Bournemouth,3,1,H,2015-2016
Watford,Swansea,1,0,H,2015-2016
West Brom,Southampton,0,0,D,2015-2016
Man United,Liverpool,3,1,H,2015-2016
Sunderland,Tottenham,0,1,A,2015-2016
Leicester,Aston Villa,3,2,H,2015-2016
West Ham,Newcastle,2,0,H,2015-2016
Chelsea,Arsenal,2,0,H,2015-2016
Aston Villa,West Brom,0,1,A,2015-2016
Bournemouth,Sunderland,2,0,H,2015-2016
Newcastle,Watford,1,2,A,2015-2016
Stoke,Leicester,2,2,D,2015-2016
Swansea,Everton,0,0,D,2015-2016
Man City,West Ham,1,2,A,2015-2016
Tottenham,Crystal Palace,1,0,H,2015-2016
Liverpool,Norwich,1,1,D,2015-2016
Southampton,Man United,2,3,A,2015-2016
Tottenham,Man City,4,1,H,2015-2016
Leicester,Arsenal,2,5,A,2015-2016
Liverpool,Aston Villa,3,2,H,2015-2016
Man United,Sunderland,3,0,H,2015-2016
Southampton,Swansea,3,1,H,2015-2016
Stoke,Bournemouth,2,1,H,2015-2016
West Ham,Norwich,2,2,D,2015-2016
Newcastle,Chelsea,2,2,D,2015-2016
Watford,Crystal Palace,0,1,A,2015-2016
West Brom,Everton,2,3,A,2015-2016
Crystal Palace,West Brom,2,0,H,2015-2016
Aston Villa,Stoke,0,1,A,2015-2016
Bournemouth,Watford,1,1,D,2015-2016
Man City,Newcastle,6,1,H,2015-2016
Norwich,Leicester,1,2,A,2015-2016
Sunderland,West Ham,2,2,D,2015-2016
Chelsea,Southampton,1,3,A,2015-2016
Everton,Liverpool,1,1,D,2015-2016
Arsenal,Man United,3,0,H,2015-2016
Swansea,Tottenham,2,2,D,2015-2016
Tottenham,Liverpool,0,0,D,2015-2016
Chelsea,Aston Villa,2,0,H,2015-2016
Crystal Palace,West Ham,1,3,A,2015-2016
Everton,Man United,0,3,A,2015-2016
Man City,Bournemouth,5,1,H,2015-2016
Southampton,Leicester,2,2,D,2015-2016
West Brom,Sunderland,1,0,H,2015-2016
Watford,Arsenal,0,3,A,2015-2016
Newcastle,Norwich,6,2,H,2015-2016
Swansea,Stoke,0,1,A,2015-2016
Aston Villa,Swansea,1,2,A,2015-2016
Leicester,Crystal Palace,1,0,H,2015-2016
Norwich,West Brom,0,1,A,2015-2016
Stoke,Watford,0,2,A,2015-2016
West Ham,Chelsea,2,1,H,2015-2016
Arsenal,Everton,2,1,H,2015-2016
Sunderland,Newcastle,3,0,H,2015-2016
Bournemouth,Tottenham,1,5,A,2015-2016
Man United,Man City,0,0,D,2015-2016
Liverpool,Southampton,1,1,D,2015-2016
Chelsea,Liverpool,1,3,A,2015-2016
Crystal Palace,Man United,0,0,D,2015-2016
Man City,Norwich,2,1,H,2015-2016
Newcastle,Stoke,0,0,D,2015-2016
Swansea,Arsenal,0,3,A,2015-2016
Watford,West Ham,2,0,H,2015-2016
West Brom,Leicester,2,3,A,2015-2016
Everton,Sunderland,6,2,H,2015-2016
Southampton,Bournemouth,2,0,H,2015-2016
Tottenham,Aston Villa,3,1,H,2015-2016
Bournemouth,Newcastle,0,1,A,2015-2016
Leicester,Watford,2,1,H,2015-2016
Man United,West Brom,2,0,H,2015-2016
Norwich,Swansea,1,0,H,2015-2016
Sunderland,Southampton,0,1,A,2015-2016
West Ham,Everton,1,1,D,2015-2016
Stoke,Chelsea,1,0,H,2015-2016
Aston Villa,Man City,0,0,D,2015-2016
Arsenal,Tottenham,1,1,D,2015-2016
Liverpool,Crystal Palace,1,2,A,2015-2016
Watford,Man United,1,2,A,2015-2016
Chelsea,Norwich,1,0,H,2015-2016
Everton,Aston Villa,4,0,H,2015-2016
Newcastle,Leicester,0,3,A,2015-2016
Southampton,Stoke,0,1,A,2015-2016
Swansea,Bournemouth,2,2,D,2015-2016
West Brom,Arsenal,2,1,H,2015-2016
Man City,Liverpool,1,4,A,2015-2016
Tottenham,West Ham,4,1,H,2015-2016
Crystal Palace,Sunderland,0,1,A,2015-2016
Aston Villa,Watford,2,3,A,2015-2016
Bournemouth,Everton,3,3,D,2015-2016
Crystal Palace,Newcastle,5,1,H,2015-2016
Man City,Southampton,3,1,H,2015-2016
Sunderland,Stoke,2,0,H,2015-2016
Leicester,Man United,1,1,D,2015-2016
Tottenham,Chelsea,0,0,D,2015-2016
West Ham,West Brom,1,1,D,2015-2016
Liverpool,Swansea,1,0,H,2015-2016
Norwich,Arsenal,1,1,D,2015-2016
Stoke,Man City,2,0,H,2015-2016
Arsenal,Sunderland,3,1,H,2015-2016
Man United,West Ham,0,0,D,2015-2016
Southampton,Aston Villa,1,1,D,2015-2016
Swansea,Leicester,0,3,A,2015-2016
Watford,Norwich,2,0,H,2015-2016
West Brom,Tottenham,1,1,D,2015-2016
Chelsea,Bournemouth,0,1,A,2015-2016
Newcastle,Liverpool,2,0,H,2015-2016
Everton,Crystal Palace,1,1,D,2015-2016
Norwich,Everton,1,1,D,2015-2016
Crystal Palace,Southampton,1,0,H,2015-2016
Man City,Swansea,2,1,H,2015-2016
Sunderland,Watford,0,1,A,2015-2016
West Ham,Stoke,0,0,D,2015-2016
Bournemouth,Man United,2,1,H,2015-2016
Aston Villa,Arsenal,0,2,A,2015-2016
Liverpool,West Brom,2,2,D,2015-2016
Tottenham,Newcastle,1,2,A,2015-2016
Leicester,Chelsea,2,1,H,2015-2016
Chelsea,Sunderland,3,1,H,2015-2016
Everton,Leicester,2,3,A,2015-2016
Man United,Norwich,1,2,A,2015-2016
Southampton,Tottenham,0,2,A,2015-2016
Stoke,Crystal Palace,1,2,A,2015-2016
West Brom,Bournemouth,1,2,A,2015-2016
Newcastle,Aston Villa,1,1,D,2015-2016
Watford,Liverpool,3,0,H,2015-2016
Swansea,West Ham,0,0,D,2015-2016
Arsenal,Man City,2,1,H,2015-2016
Stoke,Man United,2,0,H,2015-2016
Aston Villa,West Ham,1,1,D,2015-2016
Bournemouth,Crystal Palace,0,0,D,2015-2016
Chelsea,Watford,2,2,D,2015-2016
Liverpool,Leicester,1,0,H,2015-2016
Man City,Sunderland,4,1,H,2015-2016
Swansea,West Brom,1,0,H,2015-2016
Tottenham,Norwich,3,0,H,2015-2016
Newcastle,Everton,0,1,A,2015-2016
Southampton,Arsenal,4,0,H,2015-2016
Crystal Palace,Swansea,0,0,D,2015-2016
Everton,Stoke,3,4,A,2015-2016
Norwich,Aston Villa,2,0,H,2015-2016
Watford,Tottenham,1,2,A,2015-2016
West Brom,Newcastle,1,0,H,2015-2016
Arsenal,Bournemouth,2,0,H,2015-2016
Man United,Chelsea,0,0,D,2015-2016
West Ham,Southampton,2,1,H,2015-2016
Leicester,Man City,0,0,D,2015-2016
Sunderland,Liverpool,0,1,A,2015-2016
West Ham,Liverpool,2,0,H,2015-2016
Arsenal,Newcastle,1,0,H,2015-2016
Leicester,Bournemouth,0,0,D,2015-2016
Man United,Swansea,2,1,H,2015-2016
Norwich,Southampton,1,0,H,2015-2016
Sunderland,Aston Villa,3,1,H,2015-2016
West Brom,Stoke,2,1,H,2015-2016
Watford,Man City,1,2,A,2015-2016
Crystal Palace,Chelsea,0,3,A,2015-2016
Everton,Tottenham,1,1,D,2015-2016
Aston Villa,Crystal Palace,1,0,H,2015-2016
Bournemouth,West Ham,1,3,A,2015-2016
Newcastle,Man United,3,3,D,2015-2016
Chelsea,West Brom,2,2,D,2015-2016
Man City,Everton,0,0,D,2015-2016
Southampton,Watford,2,0,H,2015-2016
Stoke,Norwich,3,1,H,2015-2016
Swansea,Sunderland,2,4,A,2015-2016
Liverpool,Arsenal,3,3,D,2015-2016
Tottenham,Leicester,0,1,A,2015-2016
Tottenham,Sunderland,4,1,H,2015-2016
Bournemouth,Norwich,3,0,H,2015-2016
Chelsea,Everton,3,3,D,2015-2016
Man City,Crystal Palace,4,0,H,2015-2016
Newcastle,West Ham,2,1,H,2015-2016
Southampton,West Brom,3,0,H,2015-2016
Aston Villa,Leicester,1,1,D,2015-2016
Liverpool,Man United,0,1,A,2015-2016
Stoke,Arsenal,0,0,D,2015-2016
Swansea,Watford,1,0,H,2015-2016
Norwich,Liverpool,4,5,A,2015-2016
Crystal Palace,Tottenham,1,3,A,2015-2016
Leicester,Stoke,3,0,H,2015-2016
Man United,Southampton,0,1,A,2015-2016
Sunderland,Bournemouth,1,1,D,2015-2016
Watford,Newcastle,2,1,H,2015-2016
West Brom,Aston Villa,0,0,D,2015-2016
West Ham,Man City,2,2,D,2015-2016
Everton,Swansea,1,2,A,2015-2016
Arsenal,Chelsea,0,1,A,2015-2016
Arsenal,Southampton,0,0,D,2015-2016
Leicester,Liverpool,2,0,H,2015-2016
Norwich,Tottenham,0,3,A,2015-2016
Sunderland,Man City,0,1,A,2015-2016
West Ham,Aston Villa,2,0,H,2015-2016
Crystal Palace,Bournemouth,1,2,A,2015-2016
Man United,Stoke,3,0,H,2015-2016
West Brom,Swansea,1,1,D,2015-2016
Everton,Newcastle,3,0,H,2015-2016
Watford,Chelsea,0,0,D,2015-2016
Man City,Leicester,1,3,A,2015-2016
Aston Villa,Norwich,2,0,H,2015-2016
Liverpool,Sunderland,2,2,D,2015-2016
Newcastle,West Brom,1,0,H,2015-2016
Stoke,Everton,0,3,A,2015-2016
Swansea,Crystal Palace,1,1,D,2015-2016
Tottenham,Watford,1,0,H,2015-2016
Southampton,West Ham,1,0,H,2015-2016
Bournemouth,Arsenal,0,2,A,2015-2016
Chelsea,Man United,1,1,D,2015-2016
Sunderland,Man United,2,1,H,2015-2016
Bournemouth,Stoke,1,3,A,2015-2016
Crystal Palace,Watford,1,2,A,2015-2016
Everton,West Brom,0,1,A,2015-2016
Norwich,West Ham,2,2,D,2015-2016
Swansea,Southampton,0,1,A,2015-2016
Chelsea,Newcastle,5,1,H,2015-2016
Arsenal,Leicester,2,1,H,2015-2016
Aston Villa,Liverpool,0,6,A,2015-2016
Man City,Tottenham,1,2,A,2015-2016
West Ham,Sunderland,1,0,H,2015-2016
Leicester,Norwich,1,0,H,2015-2016
Southampton,Chelsea,1,2,A,2015-2016
Stoke,Aston Villa,2,1,H,2015-2016
Watford,Bournemouth,0,0,D,2015-2016
West Brom,Crystal Palace,3,2,H,2015-2016
Man United,Arsenal,3,2,H,2015-2016
Tottenham,Swansea,2,1,H,2015-2016
Aston Villa,Everton,1,3,A,2015-2016
Bournemouth,Southampton,2,0,H,2015-2016
Leicester,West Brom,2,2,D,2015-2016
Norwich,Chelsea,1,2,A,2015-2016
Sunderland,Crystal Palace,2,2,D,2015-2016
Arsenal,Swansea,1,2,A,2015-2016
Stoke,Newcastle,1,0,H,2015-2016
West Ham,Tottenham,1,0,H,2015-2016
Liverpool,Man City,3,0,H,2015-2016
Man United,Watford,1,0,H,2015-2016
Tottenham,Arsenal,2,2,D,2015-2016
Chelsea,Stoke,1,1,D,2015-2016
Everton,West Ham,2,3,A,2015-2016
Man City,Aston Villa,4,0,H,2015-2016
Newcastle,Bournemouth,1,3,A,2015-2016
Southampton,Sunderland,1,1,D,2015-2016
Swansea,Norwich,1,0,H,2015-2016
Watford,Leicester,0,1,A,2015-2016
Crystal Palace,Liverpool,1,2,A,2015-2016
West Brom,Man United,1,0,H,2015-2016
Norwich,Man City,0,0,D,2015-2016
Bournemouth,Swansea,3,2,H,2015-2016
Stoke,Southampton,1,2,A,2015-2016
Aston Villa,Tottenham,0,2,A,2015-2016
Leicester,Newcastle,1,0,H,2015-2016
Everton,Arsenal,0,2,A,2015-2016
Chelsea,West Ham,2,2,D,2015-2016
Crystal Palace,Leicester,0,1,A,2015-2016
Watford,Stoke,1,2,A,2015-2016
West Brom,Norwich,0,1,A,2015-2016
Swansea,Aston Villa,1,0,H,2015-2016
Newcastle,Sunderland,1,1,D,2015-2016
Southampton,Liverpool,3,2,H,2015-2016
Man City,Man United,0,1,A,2015-2016
Tottenham,Bournemouth,3,0,H,2015-2016
Aston Villa,Chelsea,0,4,A,2015-2016
Arsenal,Watford,4,0,H,2015-2016
Bournemouth,Man City,0,4,A,2015-2016
Norwich,Newcastle,3,2,H,2015-2016
Stoke,Swansea,2,2,D,2015-2016
Sunderland,West Brom,0,0,D,2015-2016
West Ham,Crystal Palace,2,2,D,2015-2016
Liverpool,Tottenham,1,1,D,2015-2016
Leicester,Southampton,1,0,H,2015-2016
Man United,Everton,1,0,H,2015-2016
West Ham,Arsenal,3,3,D,2015-2016
Aston Villa,Bournemouth,1,2,A,2015-2016
Crystal Palace,Norwich,1,0,H,2015-2016
Southampton,Newcastle,3,1,H,2015-2016
Swansea,Chelsea,1,0,H,2015-2016
Watford,Everton,1,1,D,2015-2016
Man City,West Brom,2,1,H,2015-2016
Sunderland,Leicester,0,2,A,2015-2016
Liverpool,Stoke,4,1,H,2015-2016
Tottenham,Man United,3,0,H,2015-2016
Crystal Palace,Everton,0,0,D,2015-2016
Norwich,Sunderland,0,3,A,2015-2016
Everton,Southampton,1,1,D,2015-2016
Man United,Aston Villa,1,0,H,2015-2016
Newcastle,Swansea,3,0,H,2015-2016
West Brom,Watford,0,1,A,2015-2016
Chelsea,Man City,0,3,A,2015-2016
Bournemouth,Liverpool,1,2,A,2015-2016
Leicester,West Ham,2,2,D,2015-2016
Arsenal,Crystal Palace,1,1,D,2015-2016
Stoke,Tottenham,0,4,A,2015-2016
Newcastle,Man City,1,1,D,2015-2016
West Ham,Watford,3,1,H,2015-2016
Liverpool,Everton,4,0,H,2015-2016
Man United,Crystal Palace,2,0,H,2015-2016
Arsenal,West Brom,2,0,H,2015-2016
Man City,Stoke,4,0,H,2015-2016
Aston Villa,Southampton,2,4,A,2015-2016
Bournemouth,Chelsea,1,4,A,2015-2016
Liverpool,Newcastle,2,2,D,2015-2016
Sunderland,Arsenal,0,0,D,2015-2016
Leicester,Swansea,4,0,H,2015-2016
Tottenham,West Brom,1,1,D,2015-2016
Everton,Bournemouth,2,1,H,2015-2016
Newcastle,Crystal Palace,1,0,H,2015-2016
Stoke,Sunderland,1,1,D,2015-2016
Watford,Aston Villa,3,2,H,2015-2016
West Brom,West Ham,0,3,A,2015-2016
Arsenal,Norwich,1,0,H,2015-2016
Swansea,Liverpool,3,1,H,2015-2016
Man United,Leicester,1,1,D,2015-2016
Southampton,Man City,4,2,H,2015-2016
Chelsea,Tottenham,2,2,D,2015-2016
Norwich,Man United,0,1,A,2015-2016
Aston Villa,Newcastle,0,0,D,2015-2016
Bournemouth,West Brom,1,1,D,2015-2016
Crystal Palace,Stoke,2,1,H,2015-2016
Sunderland,Chelsea,3,2,H,2015-2016
West Ham,Swansea,1,4,A,2015-2016
Leicester,Everton,3,1,H,2015-2016
Tottenham,Southampton,1,2,A,2015-2016
Liverpool,Watford,2,0,H,2015-2016
Man City,Arsenal,2,2,D,2015-2016
West Ham,Man United,3,2,H,2015-2016
Norwich,Watford,4,2,H,2015-2016
Sunderland,Everton,3,0,H,2015-2016
Liverpool,Chelsea,1,1,D,2015-2016
Arsenal,Aston Villa,4,0,H,2015-2016
Chelsea,Leicester,1,1,D,2015-2016
Everton,Norwich,3,0,H,2015-2016
Newcastle,Tottenham,5,1,H,2015-2016
Southampton,Crystal Palace,4,1,H,2015-2016
Stoke,West Ham,2,1,H,2015-2016
Swansea,Man City,1,1,D,2015-2016
Watford,Sunderland,2,2,D,2015-2016
West Brom,Liverpool,1,1,D,2015-2016
Man United,Bournemouth,3,1,H,2015-2016
Hull,Leicester,2,1,H,2016-2017
Burnley,Swansea,0,1,A,2016-2017
Crystal Palace,West Brom,0,1,A,2016-2017
Everton,Tottenham,1,1,D,2016-2017
Middlesbrough,Stoke,1,1,D,2016-2017
Southampton,Watford,1,1,D,2016-2017
Man City,Sunderland,2,1,H,2016-2017
Bournemouth,Man United,1,3,A,2016-2017
Arsenal,Liverpool,3,4,A,2016-2017
Chelsea,West Ham,2,1,H,2016-2017
Man United,Southampton,2,0,H,2016-2017
Stoke,Man City,1,4,A,2016-2017
Burnley,Liverpool,2,0,H,2016-2017
Swansea,Hull,0,2,A,2016-2017
Tottenham,Crystal Palace,1,0,H,2016-2017
Watford,Chelsea,1,2,A,2016-2017
West Brom,Everton,1,2,A,2016-2017
Leicester,Arsenal,0,0,D,2016-2017
Sunderland,Middlesbrough,1,2,A,2016-2017
West Ham,Bournemouth,1,0,H,2016-2017
Tottenham,Liverpool,1,1,D,2016-2017
Chelsea,Burnley,3,0,H,2016-2017
Crystal Palace,Bournemouth,1,1,D,2016-2017
Everton,Stoke,1,0,H,2016-2017
Leicester,Swansea,2,1,H,2016-2017
Southampton,Sunderland,1,1,D,2016-2017
Watford,Arsenal,1,3,A,2016-2017
Hull,Man United,0,1,A,2016-2017
West Brom,Middlesbrough,0,0,D,2016-2017
Man City,West Ham,3,1,H,2016-2017
Man United,Man City,1,2,A,2016-2017
Arsenal,Southampton,2,1,H,2016-2017
Bournemouth,West Brom,1,0,H,2016-2017
Burnley,Hull,1,1,D,2016-2017
Middlesbrough,Crystal Palace,1,2,A,2016-2017
Stoke,Tottenham,0,4,A,2016-2017
West Ham,Watford,2,4,A,2016-2017
Liverpool,Leicester,4,1,H,2016-2017
Swansea,Chelsea,2,2,D,2016-2017
Sunderland,Everton,0,3,A,2016-2017
Chelsea,Liverpool,1,2,A,2016-2017
Hull,Arsenal,1,4,A,2016-2017
Leicester,Burnley,3,0,H,2016-2017
Man City,Bournemouth,4,0,H,2016-2017
West Brom,West Ham,4,2,H,2016-2017
Everton,Middlesbrough,3,1,H,2016-2017
Watford,Man United,3,1,H,2016-2017
Crystal Palace,Stoke,4,1,H,2016-2017
Southampton,Swansea,1,0,H,2016-2017
Tottenham,Sunderland,1,0,H,2016-2017
Man United,Leicester,4,1,H,2016-2017
Bournemouth,Everton,1,0,H,2016-2017
Liverpool,Hull,5,1,H,2016-2017
Middlesbrough,Tottenham,1,2,A,2016-2017
Stoke,West Brom,1,1,D,2016-2017
Sunderland,Crystal Palace,2,3,A,2016-2017
Swansea,Man City,1,3,A,2016-2017
Arsenal,Chelsea,3,0,H,2016-2017
West Ham,Southampton,0,3,A,2016-2017
Burnley,Watford,2,0,H,2016-2017
Everton,Crystal Palace,1,1,D,2016-2017
Swansea,Liverpool,1,2,A,2016-2017
Hull,Chelsea,0,2,A,2016-2017
Sunderland,West Brom,1,1,D,2016-2017
Watford,Bournemouth,2,2,D,2016-2017
West Ham,Middlesbrough,1,1,D,2016-2017
Man United,Stoke,1,1,D,2016-2017
Leicester,Southampton,0,0,D,2016-2017
Tottenham,Man City,2,0,H,2016-2017
Burnley,Arsenal,0,1,A,2016-2017
Chelsea,Leicester,3,0,H,2016-2017
Arsenal,Swansea,3,2,H,2016-2017
Bournemouth,Hull,6,1,H,2016-2017
Man City,Everton,1,1,D,2016-2017
Stoke,Sunderland,2,0,H,2016-2017
West Brom,Tottenham,1,1,D,2016-2017
Crystal Palace,West Ham,0,1,A,2016-2017
Middlesbrough,Watford,0,1,A,2016-2017
Southampton,Burnley,3,1,H,2016-2017
Liverpool,Man United,0,0,D,2016-2017
Bournemouth,Tottenham,0,0,D,2016-2017
Arsenal,Middlesbrough,0,0,D,2016-2017
Burnley,Everton,2,1,H,2016-2017
Hull,Stoke,0,2,A,2016-2017
Leicester,Crystal Palace,3,1,H,2016-2017
Swansea,Watford,0,0,D,2016-2017
West Ham,Sunderland,1,0,H,2016-2017
Liverpool,West Brom,2,1,H,2016-2017
Man City,Southampton,1,1,D,2016-2017
Chelsea,Man United,4,0,H,2016-2017
Sunderland,Arsenal,1,4,A,2016-2017
Man United,Burnley,0,0,D,2016-2017
Middlesbrough,Bournemouth,2,0,H,2016-2017
Tottenham,Leicester,1,1,D,2016-2017
Watford,Hull,1,0,H,2016-2017
West Brom,Man City,0,4,A,2016-2017
Crystal Palace,Liverpool,2,4,A,2016-2017
Everton,West Ham,2,0,H,2016-2017
Southampton,Chelsea,0,2,A,2016-2017
Stoke,Swansea,3,1,H,2016-2017
Bournemouth,Sunderland,1,2,A,2016-2017
Burnley,Crystal Palace,3,2,H,2016-2017
Man City,Middlesbrough,1,1,D,2016-2017
West Ham,Stoke,1,1,D,2016-2017
Chelsea,Everton,5,0,H,2016-2017
Arsenal,Tottenham,1,1,D,2016-2017
Hull,Southampton,2,1,H,2016-2017
Liverpool,Watford,6,1,H,2016-2017
Swansea,Man United,1,3,A,2016-2017
Leicester,West Brom,1,2,A,2016-2017
Man United,Arsenal,1,1,D,2016-2017
Crystal Palace,Man City,1,2,A,2016-2017
Everton,Swansea,1,1,D,2016-2017
Southampton,Liverpool,0,0,D,2016-2017
Stoke,Bournemouth,0,1,A,2016-2017
Sunderland,Hull,3,0,H,2016-2017
Watford,Leicester,2,1,H,2016-2017
Tottenham,West Ham,3,2,H,2016-2017
Middlesbrough,Chelsea,0,1,A,2016-2017
West Brom,Burnley,4,0,H,2016-2017
Burnley,Man City,1,2,A,2016-2017
Hull,West Brom,1,1,D,2016-2017
Leicester,Middlesbrough,2,2,D,2016-2017
Liverpool,Sunderland,2,0,H,2016-2017
Swansea,Crystal Palace,5,4,H,2016-2017
Chelsea,Tottenham,2,1,H,2016-2017
Watford,Stoke,0,1,A,2016-2017
Arsenal,Bournemouth,3,1,H,2016-2017
Man United,West Ham,1,1,D,2016-2017
Southampton,Everton,1,0,H,2016-2017
Man City,Chelsea,1,3,A,2016-2017
Crystal Palace,Southampton,3,0,H,2016-2017
Stoke,Burnley,2,0,H,2016-2017
Sunderland,Leicester,2,1,H,2016-2017
Tottenham,Swansea,5,0,H,2016-2017
West Brom,Watford,3,1,H,2016-2017
West Ham,Arsenal,1,5,A,2016-2017
Bournemouth,Liverpool,4,3,H,2016-2017
Everton,Man United,1,1,D,2016-2017
Middlesbrough,Hull,1,0,H,2016-2017
Watford,Everton,3,2,H,2016-2017
Arsenal,Stoke,3,1,H,2016-2017
Burnley,Bournemouth,3,2,H,2016-2017
Hull,Crystal Palace,3,3,D,2016-2017
Swansea,Sunderland,3,0,H,2016-2017
Leicester,Man City,4,2,H,2016-2017
Chelsea,West Brom,1,0,H,2016-2017
Man United,Tottenham,1,0,H,2016-2017
Southampton,Middlesbrough,1,0,H,2016-2017
Liverpool,West Ham,2,2,D,2016-2017
Bournemouth,Leicester,1,0,H,2016-2017
Everton,Arsenal,2,1,H,2016-2017
Middlesbrough,Liverpool,0,3,A,2016-2017
Sunderland,Chelsea,0,1,A,2016-2017
West Ham,Burnley,1,0,H,2016-2017
Crystal Palace,Man United,1,2,A,2016-2017
